,Duration,Call Id,V_Range,mnth_sin,day_sin,hr_sin,mnth_cos,day_cos,hr_cos,type_Current Customer,type_Other,type_Sales,type_Service,status_Answering Service/Call Center,status_Current Customer,status_Disconnected in Progress,status_Existing Customer Prospect,status_Left Message/Voice Mail,status_New Prospect,status_Other,status_Referral Prospect,status_Repeat Caller,Words
0,285,1033596385.0,1,0.258819045102521,0.8660254037844386,-0.4999999999999997,0.49999999999999933,6.123233995736766e-17,0.866025403784439,1,0,0,0,0,1,0,0,0,0,0,0,0,service Maria smile I'm a go ahead and put in a a fan for me last week when we had a fireplace install the friend remember but the compactor was upset if he had you guys put me because you comes under his long day and he does like other people go ahead wash August 8th so he said somebody else buy it this is a little anyway the bottom line is simply put a new fan and that's great I don't have a problem with that but the people who have a warranty on it is a session coming and if they can get the sandbags appeared to please give us a cost to charge this to put the new fee 7 kill worth park Susan Parker about to leave right now girls now this has been a bit of pain what is it do you want to ask you some lunch so can we get the defective friend back so he can send it to the Effexor so that is defective and I wouldn't be surprised if you threw it out for the day right get the quite the future if your friend can I just put you on and then okay Best Buy spoke with Carl he says no he does not have the things they do end up periodically and he says it's been in her and I've noticed person is moving to Texas just trying to avoid this being up in the morning anyway thanks Corey 
6,84,1035662249.0,1,0.258819045102521,0.9659258262890682,-0.25881904510252035,0.49999999999999933,-0.4999999999999998,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,Crown Services this is Britney Martin I believe that we have a year long service contract tenens okay you check I can't you have any answering service I have a problem with the with one of our bath fireplace is not like I'm out issue with the fireplace make that your niece is Susan Clark CLA our k and the address 87 kill worth Park Drive and can I get your phone number 519-473-3217 alright I will let them know well somebody's 
12,950,1048156032.0,0,0.8660254037844387,0.49999999999999994,-0.7071067811865471,-0.8660254037844388,0.8660254037844387,0.5000000000000004,0,0,0,1,0,0,0,1,0,0,0,0,0,service mile money instead language people just called me about possibly price on flushing of a line here could could you have Tony call me I don't know I didn't her name either and I'm in Arbor readjust on the airplane tonight to put on hold for a brief moment and I will call you Century still on the other line well price of those fucking line here at our at our condo and only was here initially and I talked to Tony before we commit to this stuff is there anyway that Tony call me at home hi there my money's running stain language my my situation here with that line okay yes it's for a one Saint Johns drive your send you my phone number cuz you called anyway that's going in the next you know half hour I'd like to just call right now I don't believe he is if you want to call me so my mom and I'll see if someone else can help you here I will have this problem until they put the camera in there and Paul is this gaming effects of the scale in there so I just didn't think that we were only responsible I thought you people would be period part of the cost on this the water is running into my simple face now I didn't know how critical it was but at the same time if we had a problem I've I really thought that you were partially responsible for this so whether we could clean it I don't I'm going to recommend our board that lease for $500 that we don't clean us and if we have them down the road then I guess we got to discuss it with you people so yeah so I'm just kind of a Melissa $500 right right it's Renee McMahon my walls are you the owner of the condo and I haven't discussed this with the president of our condo Court to authorize anything so had a question of school before I presented the the situation to our president so I talked with Tony on this before I talk to her present so I so there's no way that only couldn't call me back and a half an hour or so Donna Roseman oil good afternoon my Garvis hi Mike this is Angela from Harbor you're at my place the other day on my face but yeah so let me know the load out what's going on here now that the one we we sent us down the week when we could only get so far and that's kind of the challenges we've tile over a sanitary system is for sanitary I can get right out to the main door unfortunately with leaving tiles it doesn't always work out that way so when we were doing the the camera we noticed there was a full mailbox probably think that cleaned out because if not it could cause you a lot better than y'all to come on running more than you know where you guys put up on the know the intake coming into those this is okay when you put the deli to see the scale and then as you see it in you you build up to fail to cos the the daily up to of that little pile up okay well we thinking a little farther wasn't definitely not Della was kind of hard to see exactly what it was but it looked it was a half bye no behalf of I fill up quickly when we put those cameras in we've got a basket goes on I'm so head of the cameras and put in the honestly if we after your work I have a family thing anyway but we've got the place to be put around up with basically standards the camera a little bit in it and it's not most of us do the 3 inches from the actual front it does not camera so that we can suck around obviously we would have done that for sure if it was more of a you know if that does debt plugged up you're going to have a lot bigger issue and possibly and I you know but probably the other 3 or I'm not sure if there's for units right into one pumps I believe so if I you're basically going to have water in one two or three basement is what's going to happen that would be the there was all the 5th at in-laws what I was a little surprised that $500 for the fluck thing yeah I know it seems like a lot of money those names are not big at all and it does a better set up cuz we want to make sure that we don't you know make a lot of good well make any nothing careful well I get a hold of Dick the present is there to see if they're going to if the prices I am about it I'm only here tomorrow I'm leaving early early Friday morning so I mean anyway I've been running no are you going to do the listing go around corners a little better than what the word is definitely better than the camera and I'd love to tell you how we can go right to the far end but I can't promise you that because again with with tiles just not felt the same way sanitary system so sounds on how their plans are but leave me the flicker is easier group Gazette Viet cameras it is a bonus pool has probably 6 tonight as long as it's like full of the box that's on mobile yeah only we could definitely get rid of that fairs and go and go farther than I always get us none of us know you know you probably be around here to eat while you're always going to get a bit of a belt normal but what we saw on the camera wasn't in my opinion was normal bailed on me okay I just I didn't know what you thought other than that scale that use the camera like when you've built of heal up well we certainly the right near the end of where was I don't we we couldn't tell exactly what it was that was the top part of wasn't really just Archdale was a lighter alert hard to know exactly what it was we did not get point so it's 8 we were kind of looking at it I like her to tell exactly with our cameras whether you're an employee or six inches away it was certainly we could see it pretty clear on the screen your friend wants to run the camera after your flood as soon as I get a little let's get a hold of the firm if that's a go then I guess you know anything about the timing for this let me have a quick Maria initially were talking around midday area late morning early afternoon I didn't know if there was anything any different with that cuz fine with me I don't want it too late in the day cuz I guess they got things going on here to get away so as long as we maybe able to get in there probably get a hold of her 
18,697,674503026.0,2,0.7071067811865476,0.0,0.7071067811865476,0.5000000000000001,0.8660254037844387,-0.5000000000000004,1,0,0,0,0,1,0,0,0,0,0,0,0,personally okay that's cool from Arby's her live I want to wait thanks okay I know when I get ready every 2 every 3 using what is the money so sorry okay okay I cannot hear more clear because how to find the old friend every other month 16071 in Texas I don't I don't know you are are covered until June no I do not we had it I don't know you just said when me okay Emory are you her office right now it's Ryan Hereford Karina hello Mr Peter Pan okay comma 
24,47,674514440.0,2,0.7071067811865476,0.0,0.7071067811865476,0.5000000000000001,0.8660254037844387,-0.5000000000000004,0,1,0,0,0,0,0,0,0,0,0,0,1,it's a great day service Maria speaking which are I be s t e s 
30,582,745149624.0,1,1.2246467991473532e-16,0.7071067811865476,0.5000000000000003,0.8660254037844384,0.5000000000000001,-1.8369701987210297e-16,1,0,0,0,0,1,0,0,0,0,0,0,0,bumper vasectomy Style okay Play Store poker table or the price correct I'm sorry okay okay contractors surgery my world traveler Mike mark okay Tony uncle you're available program and very short window 
36,579,742621422.0,1,1.2246467991473532e-16,0.0,0.7071067811865476,0.8660254037844384,0.8660254037844387,-0.5000000000000004,0,0,1,0,0,0,0,0,0,1,0,0,0,Hi Sam how can I make you smile there so what is it like that for okay okay okay plan yep now have all the sinks and everything okay okay okay another door okay yes sometime that down there has to be home for holidays something like that through your office is available got off okay so I looking for I'm not sure if they would be cool or I can give you right right quicker oh yeah oh yeah that's perfect area 
42,316,697060650.0,1,1.0,0.8660254037844386,0.7071067811865476,-0.8660254037844385,6.123233995736766e-17,-0.5000000000000004,1,0,0,0,0,1,0,0,0,0,0,0,0,I know 
48,280,1069011933.0,1,0.9659258262890682,0.7071067811865476,0.5000000000000003,-0.4999999999999998,0.5000000000000001,-1.8369701987210297e-16,0,0,0,1,0,0,0,1,0,0,0,0,0,hey Graham it's Maria speaking how to make a smile not Smith for some for some electrical work please type of remote which I know you should switch moved to another for the move my life from one light switch set for confirmation work done in our our kitchen so we do we will need to be installed so right now sorry no problem but yes Jody done some Plumbing work for me the first time just wrote my niece phone number 7 to 7:14 take note next week no problem I will just go over a request for money to the VIP Department chicken still there well I will get them to come out to look as you walk through it dollars I hold on 411 Lorraine me an estimate for some electrical work week okay so just so we'll look forward to so wonderful thank you so much 
54,243,703730672.0,1,0.9659258262890683,0.8660254037844386,0.7071067811865476,-1.0,6.123233995736766e-17,-0.5000000000000004,1,0,0,0,0,1,0,0,0,0,0,0,0,I'm pretty certain 
