"Call Id","Words","Prospect"
"1035033701","if I make you smile Pro hi this is Tony calling actually had a service moving of money to help me out are you looking to service no no show me what you're up going long mañana 69 Victoria Street 57708 Tony Bosch man comma dot calm how bad is it legal or Texas right now for my son and so I'm hoping not too bad I just wanted to know as the weather like men what causes a call I would probably aren't going out later this week would be a Miller disc and then song so look at the pricing everything be starting any work I'm going to send us the go ahead to work now is this be away this week to go through the winter so it was a nice time the pain does money does the labor and material the minimum labor so so web today with Oliver with all of her and also could you get someone else I could come out to you early Friday it is small might be doable but leaving the moment and a half with Miami Heat Spanish is what it is because it was lease yes any way someone else thefuck are I could probably come and walk in this wouldn't be able to guarantee a time what I would do is I would get there at the Mcall days when we have a better idea on reserve does as well a lot of million be as for tomorrow okay well I will put you and we'll give you dysentery ","Service"
"736744767","company available for several months here so top floor cuz it for the proper yeah no yeah farming okay critical call tomorrow most important thing yeah Jo Jo okay thank you so very much cousin ","Service"
"1035187924","find post can you hear me hi my name is my husband and I have some work done we had our house rewired in June and just noticed one of our Outlet the side work science revamping it on a bad day it didn't turn on it doesn't work but I just wanted to see if we could have somebody come and look at that yeah of course youcan certainly do that your searing Briscoe Street East in London perfect Michael 1378 x 2 week best press 4 Bonnie it's Jenny stop by and Thursday or Friday of this week and if not you last week okay as possible alright fried sometime after 11 p.m. what I'll give you a call around 10:50 okay then I can know what time for us awesome so much problems ","Service"
"1035206868","it's a great fun at home service this is an appointment you smile hello it's me a call back office for a place downtown for heating and air conditioning on the first floor to check with you it's a department Door story okay I have a picnic clear with an apartment building I prefer a walk through to Mike Jarvis dessert fruit advisor he just callyou back I will be out of the office from August 4th till August 10th if this is Anton please phone our office main line at 194-5045 ","Sales"
"736536668","72195 ","Service"
"1035281256","hi I'd like to book an appointment so that my furnace can be expected inspected my gas fireplace inspected and any maintenance done that needs to be done in the window of the fireplace and your yes 697 Greenfield Dr GRE en f as in Frederick dll you are when I send your furnace fireplace earlier than earlier in the day the better I am it's a verify your phone that's the home number 47597 Rice Bowl therefore there's my cleaning lady comes that day I would be okay yeah so your we're going to be at Cross purposes with one another well I'm okay Friday the 23rd know better make it the next week cuz I have morning and I don't want I'm not sure when it'llbe done so I don't want to be late for you and I don't want to be late for them so we have okay and what time would be I would prefer you said you wanted more I can put you in there in between 8 and 4 + 27 okay perfect thank you very much no problem ","Service"
"1035302485","April service Maria speaking smile well hi there I have a question Wingstop repair Rachel I need somebody was at my house and measurements and 2004 looking for to 1000 and if you're home we it was a measurement and no problem alright so someone to come out there is no cost to you I will go over everything give me a list of them would you do that so if I can yellow quote now you don't have to because it seems like we're going to have this week it is a close campus dot Newman hi there okay so yeah why I understand you're looking for a place I just don't know what you're looking for price for Crystal I'm looking for the 40000 BTU furnace let me for the cheapest rental property I'm looking for the cheap option for me so at Alliance gave me twoquotes one was for entry level of energy efficient and the other one the lowest level of 3 p okay okay so just wanted to know if you know he'll basically he's going to eat something but I'm going to go with you or whether seal is Scott you just looking for a price absolutely blow your friend I need alittle bit let me use if you don't do it over the phone because ever gets too late I'm on take on any liners down X cetera so there's a little taco accurate price over the phone like this please if you're looking for the furnace on the market your week get her on board with open right now but probably in the $2,800 range for the absolute you know Leslie sick then you go out this thing that has the energy of lowering it you're probably in 3400 hey Iwould definitely have to come and have a look at it cuz I cannot give you any phone numbers over the phone that wouldn't be fair to me and it wouldn'tbe fair to you either be up for a while okay so I got to fix a small sick 200 since then as 40000 with all the low price is 50 then 250 Milla Mater thousand dollars which means down to 4500 just need the 5 which comes to $5,025 and then stead City 1160 so my total cost would 9:35 yeah I mean we couldcertainly probably not as far as a race code knows the rebates and everything of the IES believe 8 as well as a state has no cracks it is 1100 okay helps okay please send me some fishing thing inspection which contact Ellis yeah we have to have an energy audit done and depending on who you're using that the prices of need a little a work night and stuff just needs a little bit the company that we we recommend of $600 you get 5 if not not from Uniongas so soft feelings boss about it if you would you do lose the HST so you know like whatever maybe you would get my Berkeley this is what I do with me $128 because you don't get passenger back what I mean yeah but so happy for the furnace and they have another you have to do is bring what you need out naughty stuff replace the furnace so you only have to do are stealing or a salmon fillet 10x other cutter Paul seen as a seat that it's not too chimney anymore correct any furnace is going to be like other than he is right but yeah you'd have to clean an AC power blower or AC power blower programs I saw that you so what does a government agency $250 for installing a furnace with a blower the other rebate is from you doesn't cost a thing all replacing the furnace is 1 you have to do anything anyway II think the things I are feeling thing insulation cfc's Igloo Disney price okay yeah comes with send you a full boarding passes in labor okay hey we have the same thing your warranty is it's pretty face I'm pretty sure we could really you know Priceless from Alliance typically not usually a nap too long as were comparing apples is Barb at B&N speaking not happen we found out that only come out and PS2 Delta you know if this will firm quote now what's the what's the sinus that that you would be telling system smart are schnauzers like not a brand that's just referring asleep Irene there's no postmark are that's just Reliance around piranhas we deal with Road Lenox air flow I love her and you know between furnaces furnace Brands there's lots of comparables like you know different brands or manufacturers will be very comparable with the see you in the type of blower and that kind of thing so certainly give you a you know a person who you already have so I don't know what to do well I'll how soon did you have the dogs like the model it'll Ian Murrell you spell the modem could not do in until tomorrow for you you know we are all of the yeah this is the tenants for me better place now so well unfortunately I'm booked another realizes not attend tomorrow alright well think she is ","Sales"
"1035325444","service Maria speaking how to make a smile hello I am trying to find somebody that fixes boilers to 6 helloare yes boiler spell what the problem solve on the on the unit and I need an annual inspection are you calling from lunch here I am calling from London but the property is not in Lawton it's actually in button which is 25 minutes up the road we don't answer it's not life ","Service"
"736356546","Maria speaking how can I make you smile oh dear no problem I don't know what that ever 666 711 alright so we were out to your cell I guess to go to the school store card you're okay alright give you a call okay compartment around okay if you are a priority so I suggest that you know there will be a 99 second offer from and we'll go over everything ","Service"
"736171297","7 4/2 x 26 ","Service"
"1035529904","how can I make me smile my name is Liana life years ago I had a back water valve installed sign in homeservice and no supposed to check the year to make sure that the valve is still working I can't figure out how to open a little compartment where it isso I guess I need somebody come out and show me how to do that no problem yes 2 not that I also have Alfie to say after watermelon Radisson 0 Street yeah 1943 nine six four three seven yes now the only thing I make a new one we've got someone available for that sooner than that be available I have Thursday or Friday available Thursday no Friday depends on what time I have morning and afternoon and I didn't call you okay that's it yes it if allergist I people go over everything for that everything is working for you also any questions I can ask only one he's okay and yeah I just need them to show me how to open as I get it I can do it myself no problem yes alright well and someone will give you a call first before they arrive it what time is it now before you know it so by pain pain pain well and how they're doing day and then they give you a call 15 minutes before he arrives thank you ","Service"
"1035540324","it's a great day Maria style specially make an appointment if somebody come over vote on school region and I need to have an outlet in for the microwave cuz it's going on the stove okay and there's a couple of outlets and I wanted to change and put some track lighting up okay and I wanna work on that because I know yeah okay what does the other night I know just put in Clayton the feeling and then a light underneath one of the cover and then the two outlets on the side where this is I was told should be GSI I want it anyway because Mary tight when I try and be in okay so I wanted to change them anyway and I was told that GF eyes should be there because of the water that they have 450 bathrooms oranything like that so yes and it's perfect it's no it's no it starting January 2nd also I have never all the stuff done for them now how we look for you before I know that you work in the time at 44 Mills Road do you work here but I don't know what you've done if you've done electrical or Plumbing seen your truck run a lot 507 yeah there's a lot of work there let's find it here you haven't been working my unit okay we're in the building that hot that's how I know that's probably to call you is because I seen your truck quickness who sent to 506 quite a bit 503-5007 are you Dennis McDonald game Plumbing all that it was coming right for Port yes yes yes we are so yeah he'll probably your phone number so I when I say 1964 yes so now for some God Iwill go Mylicon he'll come on people go over everything first then give you a price back cuz it is due on the spots okay and then I'll just be one there under able to accept cash checks Visa Mastercard and out those dollars he'll give you a price and then when you're ready just come call us back and all that by 6 okay okay I want to pull 1st fact Lee so he will be out a quote to 94 him come up because you can do right on the spot here alright so but when we go in to the store just clear for me I probably not Friday in the morning from trying to plan for Friday morning okay Friday afternoon yeah okay I will put in with you so yeah and I will have someone give you a call for one kind of thing yeah mine chance okay perfect I will put that in motion someone will contact me they are going to be great bye ","Service"
"736082777","good morning ","Service"
"736074862","we're going to have fiber 987-747-2160 problems now that you know we were being asked if you're coming her mornings afternoons and then I will have someone get a little I will put that in the Howard okay ","Sales"
"1035558941","mile does Taco Bell in now because I know here in the kitchen doing a little thing and zaps tacos and maybe they'll take a look at it for us to me if not today possibly tomorrow I'm sorry okay I'm leaving my home yeah I'll give you the home line here 519-686-8337 and yes we had to actually couple years ago the same Outlet we had to take a look at it yeah it's kind of fun last night when the kids said the kettle going it was working and then there's like coming out of this thing so we're just cut it down yeah yeah it's a two or three years ago things I want to do so ","Service"
"735999030","in the morning I'll give you a call on Monday and ","Service"
"735891935","okay I have 549-520-5881 okay okay bye now ","Service"
"735875173","you for calling fighting this is Carol ","Service"
"735868857","thank you ","Service"
"1035790489","history that final service is Diana how to make me smile hello yes I'm calling regarding an appointment I need electrician to come to the house so they had electricians here before long what are we doing there for you bye nowwell I just wondered if there was anyone available to come on the morning of the case in November centrally what I need done is I need a light and called in a bedroom like the wiring there everything I just am open taken down so I am feeling alright sorry go ahead and I also need another steel and I'm feeling like that when the light is on and I'm shocked so I would like that look that was made instantly it was my painter that put it off okay and Ialso have for the under Birds lighting receptacles are not working properly can't remember whether Fineman and then or not but anyway I just need themlook but because they're not working and stay in for me and also ohh yes I was just wondering why they were here they could help me check fire alarms that I forgot and that's the only time you're available well this is an interrupted by Monday well that's also possibility unless I have the afternoon available okay how are you first okay so what I'll do is I'll put you in for the 12th if you are an existing customers in early we used to give her 2 hour window what we do now is Sarah will give you a call around get you on the progress of our okay their ideas but I can tell you for sure it'll be so yeah that's I mean you're going to call it 10 but I shouldn't expect them before 12:30 so absolutely not okay but I'm in for a very much you're very welcome you have my address there 817 Cabots Trace okay thanks a lot you're welcome ","Service"
"735698948","this my last attempt I can make it bye and I look at it now phone number 509-679-5196 and I have a shower 519-319-9436 okay perfect so okay so are we schedule I just have us know how we schedule our customer knows most part on there also they want to watch it to work right away okay so and then when they're able to pass that he's a MasterCard person as quickly as as quick process you require first thing for Casey morons I will have someone could you call to confirm okay exactly we are on site between 830 the first call of the day okay okay thank you have a good day ","Service"
"1035795286","it's Maria smile the office Miller coach Nancy Beverly hello Diane I call you I spoke with you last week ago yesterday regarding the belt if you would so we can see have know what the fuck minell be paid for any other technical I can do Monday afternoon Wednesday morning Tuesday morning I can place a fucking call so he between 9/11 okay that is it right now you're welcome bye ","Sales"
"735688384","alright phone number six six November are you girls now if you prefer morning or afternoon heinous are able to check hospitals a MasterCard okay ","Service"
"1035976761","service area not a problem to do that for you you can do it Wireless so Jessica crass +519-473-941-0519 910 he wants College of have to follow you received Pop Pop Pop's alright I'm going to take a look at our sad girl and see what we can do it we have Wednesday November 14th hello get a package so they was morning or afternoon so do it what I can do that too we talked earlier it would be sometime after allthat work alright so the 14th we'll have you fucked what a call in the morning as well with Oscar team a surprise for you bye do you know it was calling her we will see you on your mom bye ","Service"
"1035981042","hey how are you dude it's Brett from your ass home now hey son cellphone related question I took guys in my house the other day and we were looking at doing some Rhino's to might be well finishing up we aregoing to start it and we noticed that the water heater is in in my butt so who want to go to campus so I'm wondering if we can get a quote on it how much it would cost and how long it would yeah some stuff for me as on our Facebook know I did usually I do laundry but I forget it and he's doing a lot of stuff she does only here for me I get drinks Presby are eating Marshawn ARS I thought so but it might just be me interacting with me cuz he's you know I know you're not late just some used ones office before and so that's quite a bit more stuff like that and we're okay yeah that's my old place other than last time period until the service to the new house I dealt 7X 275 Chocolate Grill g o k a l a that's one obviously in 6 G ohh L 8 that's North Manchaca Road is almost out of the city right near 10 Lake Park to show is the area Mark's whatever the callers folders so it's still kind of attached is really the last repair houses for your out of City very much Northam 236 301 226-236-3018 and I'm pretty sure this is right and you might even know this but sure if you have a rental through Reliance or whatever there's never on Mars right please stop that I've ever heard one like that there's somesort of rental tank in there okay but there's no like there's an over the range cuz I've never I've never had one before like where I've never really stopped I just kind of moved in it's been at the house and I've always kept it so but I'm like you know spend doing that so no no no it's a rental but I saw they took them like I said I was only like years old Great Pyrenees so I can today it wouldn't back comma Chinese all them and a half well I'm waiting fill out alright Ben bother you anymore so bring it to Mike's they don't like going to go to me okay now that you've remove that tank yours I wonder if Mark doesn't go why would you even know about it I have no idea what they're even call me the better cuz I know you I'm trying to do there any wrestling doing the basement put in a bedroom cuz we originally didn't know what we're doing so we're quite where we want to go out and spend a has to be done before we start not the only thing I can do the wind going to go to bed apart so so not a rush but the sooner the better so yeah what time will it be tomorrow on my way to work she's going to be wanting someone I can talk some after he is he's just you know she just needed to talk to me will you or hurt anyone anyways they do the tankless water heaters so Mike I could be down there sometime tomorrow around 1 ish he would just go and you just don't go downstairs and he would he's he's done work at our other house she did work on Brunswick just come in take a quick look and after he checks and he would dude call me or talk to me after but he's just going to check it out in this or move the the tankless there and then do it I just talked to leave you on the phone with me we don't have to pay anything or do anything when we get rid of the tank we just signed it over to them and then they dohave a deal with Reliance after that so we don't have to do anything so anyway Zack yeah yeah that's like I said we're at the point where now we need to know cuz we wrote those of the two things that we need to do for the circle in the basement so the windows already in place in might find it of of those two and then go from there okay F the one o'clock well thank you ","Service"
"735418582","I don't think so ","Sales"
"1036025097","yes it's Rick and I'll call Ernest 564 so email ohh LLY Dot alright I know is it was you have Fried Worms wife will be home in the morning works for me I'll call you back ","Service"
"735310556","this is Norma Perry season of somebody call me a little while ago but having Tony the Prada come here at 6:30 or 8:30 tomorrow Norma Perry Norma Perry calling text regarding Towing plumber coming to our home tomorrow morning at 3:30 Harkins come in at 9 to get them Autosound probably by the time they come and they need the waterto stay clean him and everything so would you have to come like later in the morning like usually sooner Tyrone yeah 11 and then again at 1 so do you think you were CC you would have to turn off okay well thank you very much very much ","Service"
"1036097617","service Maria speaking how can I make you smile hot tubs let's go hot dogs if I get it now hello don't break or hot tub is not sweet girl breaking okay this might be as simple as one of them in reaching out to me as soon as an action may this is not Chase good I just want to do it so it's $9 cash for him come on site from the law he'll let you know exactly what the problem is for his present work and that he will go ahead with the work I'm not just this whole lot of work to do exactly what it is don't before he starts any work that's how we work we'll let you know what the prices before your 3 Stevenson Ave and as in Nancy v w 114 226-448-0642 alright so but I will schedule my Chris and he'll come a front cover everything then he will lawlessness and go ahead with with her when we do not accept available today second their schedule yes I'm to get someone else there tomorrow do you prefer morning afternoon and then someone will update you when good morning I like I said let me know when they're coming if you want to head down there once or very much ","Service"
"735092909","if I can help you make a smile making green here Alright Justin available now is that okay okay are you there so after 12:00 we are on a 15 minute heads up okay if it's something to do with over 50 no problem is and then go from there okay so Cable take Mastercards perfect ","Service"
"1036275472","so you guys know that our old house and urban off all regular your do you are at Moats no it was 3 not you at doing some work address is 116 alright 112 Claire and I are en so n driving so it's a new home that you wanted to partner yeah 1/3 this wires to the main and forth and now that they've ripped Pharmacy off the wall and I can't figure out how to wire it not a problem I'm just going to send you an you still have the old property at 111 Place disappear hi I has to choose 8263 do you have an email address if youlike to put on file for any receipt alright sent a calendar and see what we owe you and right now or is it just a massage not really working but there's no hello Meijer 3 Roger bye what's not working tomorrow I guess at work Brian Smith I know I wrote will be waiting for you tomorrow let you know so if not license or it'll also give you a call as well into my clothes for my parents will be there all day never ","Service"
"734981569","my name is Paul my own incoming come over in my room now and I noticed the messages on the but I received an email message today I know respond email message so ago and looked at it and I kind of ignored today sort of coming today on the email similar before right now calibration failure 390 crest are you done for years ago or time so I need to go earlier a service that was done if you would ring through the automatic on Friday thank you ","Service"
"1036285920","regarding the missing off my hi dear if you are woman and nurturing learning properly okay I'm calling from Los Alamos 448 Eagle Crest Drive and we were already you know what is it 2/2 movie who cleanest was the problem and what from your perspective water tank so of ideas in between the house my house Lego house water is not properly training Bechamel attempt into house snuggling anywaythere is something we would handle these guys so you guys don't do this problem is the water to your house that house my house and neighbors house of rain what is not a state it's a staying here please Sigmund please visit new house yeah no problem thanks bye ","Service"
"734929279","okay 525-993-3011 ","Service"
"1036383936","Greg it's Maria how can I make a style you did it for many years over there it's Mary Neal Andy 1049 Andy Somerville with us you are in Summerville is s o m e r l l Drive Andy Somerville is one word Stewart Stewart so we are ya Ali Dr hello Dr Brett there is an 6 a 5 or 1 it's 519-657-7753 gay Neil l gmail.com spelled S II you know that I'll schedule your you know for your maintenance there our technician will come see you know how old I'm guessing at the Palm beers old Stephanie are handling system in this house too I don't know if you guys can look at that do cuz I know how it works yeah he's there he will have a late so we're booked to be here when the first available is 10th of November remember morning afternoon I'm going to go outside for me good morning I meant one will let me know I will notify you that you ","Service"
"734795782","no power ","Service"
